2.06 -155.2798309 19.3834991 1488221759 6km SW of Volcano, Hawaii
2.52 -156.4143372 19.6381664 1489038117 43km W of Kailua-Kona, Hawaii
2.67 -155.5440063 19.8318329 1488249267 25km SSE of Waimea, Hawaii
1.0 -116.7746667 33.2806667 1488210184 4km NNW of Lake Henshaw, CA
1.05 -117.0085 34.2036667 1488185465 9km E of Running Springs, CA
2.19 -121.5801697 36.9580002 1488173538 5km S of Gilroy, California
2.8 -98.1613 37.2869 1488184600 12km W of Harper, Kansas
0.98 -122.7574997 38.7970009 1488186233 2km N of The Geysers, California
1.06 -122.8184967 38.8053322 1489040182 6km WNW of The Geysers, California
2.22 -124.3346634 40.3071671 1488184278 28km SW of Rio Dell, California
2.58 -124.934166 40.348999 1488251092 62km WSW of Ferndale, California
4.5 -157.822 55.2888 1488211648 122km SSE of Chignik Lake, Alaska
2.3 -150.0738 61.3809 1488248582 16km SSW of Big Lake, Alaska
2.3 -147.1242 61.8456 1489039708 87km WSW of Glennallen, Alaska
1.7 -151.2374 60.9729 1489600407 31km N of Nikiski, Alaska
2.12 -155.281662 19.4064999 1489598036 5km WSW of Volcano, Hawaii
